id,Name,Adress,MOAT SITUATION,OMD,File link,Water  Area (SQM),Map Of Index,x,y
357,,30- Oudenaardsestraat- Harelbeke 8530,Incomplete,X,,8183,Popp Remastered,3.339580373,50.83413167
358,,114- Ellestraat- Knokke- Zwevegem 8550,Disappeared,X,,4398,Popp Remastered,3.356488749,50.80499259
359,,Stampkotstraat- Heestert- Zwevegem 8551,Disappeared,X,,3621,Popp Remastered,3.406398701,50.79315899
360,,Kloosterstraat- Heestert- Zwevegem 8551,Complete,X,,2600,Popp Remastered,3.423123005,50.7909648
361,,Veldstraat- Otegem- Zwevegem 8553,Incomplete,X,,2462,Popp Remastered,3.433010329,50.7952866
362,,47- Zwevegemstraat- Ingooigem- Anzegem 8570,Incomplete,X,,3469,Popp Remastered,3.419168576,50.81459371
363,,31- Evarist De Coninckstraat- Te Bosterhout- Waregem,Complete,X,,3300,Popp Remastered,3.395495593,50.86344366
365,,31-35E- Keukeldam- Waregem,Incomplete,X,,5332,Popp Remastered,3.435280237,50.88865699
366,Park Baron Casier ,34-stationsstraat- Waregem,Complete,OPEN,/366 - Kasteel Casier,14690,Popp Remastered,3.433398092,50.88827486
368,,47- Putmanstraat- Waregem,Disappeared,X,,1447,Popp Remastered,3.431234708,50.89280557
369,,47- Putmanstraat- Waregem,Disappeared,X,,1824,Popp Remastered,3.431104904,50.89320131
370,,35- Guldensporenlaan- Waregem,Disappeared,X,,4136,Popp Remastered,3.414273772,50.89947801
371,,Muizelstraat- Hulste- Harelbeke,Incomplete,X,,4110,Popp Remastered,3.295411273,50.90017319
372,,Begonialaan- Hulste- Harelbeke,Disappeared,X,,9430,Popp Remastered,3.291804954,50.88552937
373,,Abtsulstraat- Hulste- Harelbeke,Incomplete,X,,3089,Popp Remastered,3.280635383,50.88796243
374,,Brugsestraat- Hulste- Harelbeke,Complete,X,,3013,Popp Remastered,3.277580029,50.88249577
375,,Kwadestraat- Hulste,Incomplete,X,,4497,Popp Remastered,3.278656916,50.87943037
376,Goed te Vrijleghem,Kwadestraat- Harelbeke,Complete,CLOSED,/376 - Hoeve Vrijlegemhof Masureel,5323,Popp Remastered,3.280384944,50.87821364
377,,Barzestraat- Hulste- Harelbeke,Incomplete,X,,2623,Popp Remastered,3.286558403,50.8928086
378,,Blauwhuisstraat- Hulste- Harelbeke,Incomplete,X,,2606,Popp Remastered,3.287808716,50.88620579
379,,Tombroekstraat- Hulste- Harelbeke,Disappeared,X,,1998,Popp Remastered,3.306084089,50.89941569
380,,Hulstsestraat- Lendelede 8860,Incomplete,X,,4169,Popp Remastered,3.267950953,50.88491647
383,,Kennedypad- Hoog Kortrijk 8500,Disappeared,X,,10347,Popp Remastered,3.27190259,50.80128671
384,Goed te Steeland,Kwademeers- Bellegem- Zwevegem 8510,Incomplete,X,/384 - Goed te Steeland,6092,Popp Remastered,3.302805954,50.79474028
385,,22- Maandagweg 8500,Incomplete,X,,5047,Popp Remastered,3.289766134,50.81313244
386,,Kortrijk- West-Vlaanderen- Vlaanderen- 8500,Disappeared,X,,16849,Popp Remastered,3.265206387,50.81274955
387,,Priesteragestraat- Bellegem 8510,Incomplete,X,,2714,Popp Remastered,3.281358423,50.78105752
388,,Processiestraat- Bellegem 8510,Disappeared,X,,6296,Popp Remastered,3.292180941,50.78563647
389,,64- Stientjesstraat- Anzegem 8570,Incomplete,X,,10784,Popp Remastered,3.449891814,50.84044932
390,,66- Stientjesstraat- Anzegem 8570,Incomplete,X,,4047,Popp Remastered,3.452585709,50.83908008
391,,52- Grote Leiestraat- Anzegem 8570,Incomplete,X,,6440,Popp Remastered,3.465332427,50.84860166
392,,Kasteel Hemsrode- 3- Hemsrode- Anzegem 8570,Complete,X,,77446,Popp Remastered,3.477323541,50.84449455
